firefox A lazy none cold retro  hits=36 paint=73 css=45 dcl=74 attach=72 fonts=106 intro=72..1307 veilOff=- final=1307 {"unthemed":0,"fallbackFont":0,"fallbackFontInIntro":26,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":0}
firefox A lazy none warm retro  hits=0 paint=43 css=32 dcl=73 attach=72 fonts=96 intro=72..1309 veilOff=- final=1309 {"unthemed":0,"fallbackFont":32,"fallbackFontInIntro":0,"pageBeforeIntro":32,"headlineAtRestBeforeReveal":32}
firefox A lazy none cold phantom  hits=39 paint=74 css=45 dcl=75 attach=71 fonts=113 intro=71..1926 veilOff=- final=1926 {"unthemed":0,"fallbackFont":0,"fallbackFontInIntro":0,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":0}
firefox A lazy none warm phantom  hits=0 paint=43 css=29 dcl=71 attach=65 fonts=96 intro=65..1926 veilOff=- final=1926 {"unthemed":0,"fallbackFont":24,"fallbackFontInIntro":0,"pageBeforeIntro":24,"headlineAtRestBeforeReveal":24}
firefox A lazy none cold cyberpunk  hits=39 paint=54 css=42 dcl=75 attach=73 fonts=113 intro=-..- veilOff=- final=92 {"unthemed":0,"fallbackFont":38,"fallbackFontInIntro":0,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":38}
firefox A lazy none warm cyberpunk  hits=0 paint=46 css=33 dcl=66 attach=64 fonts=101 intro=-..- veilOff=- final=76 {"unthemed":0,"fallbackFont":30,"fallbackFontInIntro":0,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":30}
firefox A lazy fast3g cold synthwave  hits=40 paint=3944 css=3932 dcl=4508 attach=4508 fonts=5253 intro=4508..6431 veilOff=- final=6431 {"unthemed":0,"fallbackFont":568,"fallbackFontInIntro":740,"pageBeforeIntro":568,"headlineAtRestBeforeReveal":568}
firefox A lazy fast3g warm synthwave  hits=0 paint=43 css=29 dcl=72 attach=70 fonts=129 intro=70..1881 veilOff=- final=1881 {"unthemed":0,"fallbackFont":41,"fallbackFontInIntro":0,"pageBeforeIntro":41,"headlineAtRestBeforeReveal":41}
firefox A lazy fast3g cold terminal  hits=34 paint=3936 css=3924 dcl=4501 attach=4501 fonts=4593 intro=4501..6021 veilOff=- final=6021 {"unthemed":0,"fallbackFont":568,"fallbackFontInIntro":87,"pageBeforeIntro":568,"headlineAtRestBeforeReveal":568}
firefox A lazy fast3g warm terminal  hits=0 paint=45 css=34 dcl=55 attach=55 fonts=76 intro=55..1576 veilOff=- final=1576 {"unthemed":0,"fallbackFont":17,"fallbackFontInIntro":0,"pageBeforeIntro":17,"headlineAtRestBeforeReveal":17}
firefox A lazy fast3g cold retro  hits=36 paint=3963 css=3953 dcl=4529 attach=4529 fonts=5119 intro=4529..5791 veilOff=- final=5791 {"unthemed":0,"fallbackFont":580,"fallbackFontInIntro":181,"pageBeforeIntro":580,"headlineAtRestBeforeReveal":580}
firefox A lazy fast3g warm retro  hits=0 paint=46 css=35 dcl=62 attach=62 fonts=92 intro=62..1308 veilOff=- final=1308 {"unthemed":0,"fallbackFont":28,"fallbackFontInIntro":0,"pageBeforeIntro":28,"headlineAtRestBeforeReveal":28}
firefox A lazy fast3g cold phantom  hits=39 paint=3945 css=3936 dcl=4512 attach=4512 fonts=5178 intro=4512..6375 veilOff=- final=6375 {"unthemed":0,"fallbackFont":582,"fallbackFontInIntro":0,"pageBeforeIntro":582,"headlineAtRestBeforeReveal":582}
firefox A lazy fast3g warm phantom  hits=0 paint=67 css=34 dcl=67 attach=65 fonts=103 intro=65..1917 veilOff=- final=1917 {"unthemed":0,"fallbackFont":0,"fallbackFontInIntro":0,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":0}
firefox A lazy fast3g cold cyberpunk  hits=39 paint=3945 css=3934 dcl=4511 attach=4511 fonts=5127 intro=-..- veilOff=- final=4956 {"unthemed":0,"fallbackFont":1011,"fallbackFontInIntro":0,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":577}
firefox A lazy fast3g warm cyberpunk  hits=0 paint=47 css=35 dcl=67 attach=66 fonts=101 intro=-..- veilOff=- final=78 {"unthemed":0,"fallbackFont":31,"fallbackFontInIntro":0,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":31}
firefox B eager none cold synthwave  hits=61 paint=90 css=53 dcl=133 attach=133 fonts=215 intro=65..1857 veilOff=- final=1857 {"unthemed":0,"fallbackFont":0,"fallbackFontInIntro":26,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":0}
firefox B eager none warm synthwave  hits=0 paint=66 css=29 dcl=107 attach=107 fonts=174 intro=38..1724 veilOff=- final=1724 {"unthemed":0,"fallbackFont":0,"fallbackFontInIntro":35,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":0}
firefox B eager none cold phantom  hits=60 paint=82 css=49 dcl=114 attach=109 fonts=144 intro=59..1924 veilOff=- final=1924 {"unthemed":0,"fallbackFont":0,"fallbackFontInIntro":0,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":0}
firefox B eager none warm phantom  hits=0 paint=68 css=34 dcl=101 attach=95 fonts=131 intro=44..1909 veilOff=- final=1909 {"unthemed":0,"fallbackFont":0,"fallbackFontInIntro":0,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":0}
firefox B eager fast3g cold synthwave  hits=61 paint=3887 css=3852 dcl=7640 attach=7640 fonts=7732 intro=3860..9170 veilOff=- final=9170 {"unthemed":0,"fallbackFont":0,"fallbackFontInIntro":690,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":0}
firefox B eager fast3g warm synthwave  hits=0 paint=68 css=32 dcl=107 attach=106 fonts=164 intro=41..1853 veilOff=- final=1853 {"unthemed":0,"fallbackFont":0,"fallbackFontInIntro":32,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":0}
firefox B eager fast3g cold phantom  hits=60 paint=3883 css=3852 dcl=7975 attach=7975 fonts=8005 intro=3860..8522 veilOff=- final=8522 {"unthemed":0,"fallbackFont":0,"fallbackFontInIntro":0,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":657}
firefox B eager fast3g warm phantom  hits=0 paint=64 css=31 dcl=99 attach=93 fonts=126 intro=40..1891 veilOff=- final=1891 {"unthemed":0,"fallbackFont":0,"fallbackFontInIntro":0,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":0}
firefox B lazy none cold synthwave  hits=40 paint=87 css=46 dcl=92 attach=91 fonts=115 intro=52..1742 veilOff=- final=1742 {"unthemed":0,"fallbackFont":0,"fallbackFontInIntro":12,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":0}
firefox B lazy none warm synthwave  hits=0 paint=69 css=31 dcl=74 attach=73 fonts=99 intro=36..1853 veilOff=- final=1853 {"unthemed":0,"fallbackFont":0,"fallbackFontInIntro":14,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":0}
firefox B lazy none cold phantom  hits=39 paint=82 css=44 dcl=86 attach=86 fonts=112 intro=50..1911 veilOff=- final=1911 {"unthemed":0,"fallbackFont":0,"fallbackFontInIntro":0,"pageBeforeIntro":0,"headlineAtRestBeforeReveal":0}
